Life,Ki,KiRecovery,Weight,Pulse,Ninjutsu,NinjutsuCapacity,Onmyo,OnmyoCapacity,Fire,Water,Lightning,Poison,Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
80,0,0,0,0,0,0,0,0,0,0,0,1,1
100,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
120,0,0,0,0,0,0,0,0,0,0,0,2,2
135,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4
150,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8
165,0,0,0,0,0,0,0,0,0,0,0,3.2,3.2
180,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6
195,0,0,0,0,0,0,0,0,0,0,0,4,4
210,0,0,0,0,0,0,0,0,0,0,0,4.3,4.3
225,0,0,0,0,0,0,0,0,0,0,0,4.6,4.6
240,0,0,0,0,0,0,0,0,0,0,0,4.9,4.9
255,0,0,0,0,0,0,0,0,0,0,0,5.2,5.2
270,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5
285,0,0,0,0,0,0,0,0,0,0,0,5.7,5.7
300,0,0,0,0,0,0,0,0,0,0,0,5.9,5.9
315,0,0,0,0,0,0,0,0,0,0,0,6.1,6.1
330,0,0,0,0,0,0,0,0,0,0,0,6.3,6.3
345,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5
360,0,0,0,0,0,0,0,0,0,0,0,6.7,6.7
375,0,0,0,0,0,0,0,0,0,0,0,6.9,6.9
390,0,0,0,0,0,0,0,0,0,0,0,7.1,7.1
405,0,0,0,0,0,0,0,0,0,0,0,7.3,7.3
420,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5
435,0,0,0,0,0,0,0,0,0,0,0,7.7,7.7
450,0,0,0,0,0,0,0,0,0,0,0,7.9,7.9
465,0,0,0,0,0,0,0,0,0,0,0,8.1,8.1
480,0,0,0,0,0,0,0,0,0,0,0,8.3,8.3
495,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5
510,0,0,0,0,0,0,0,0,0,0,0,8.7,8.7
525,0,0,0,0,0,0,0,0,0,0,0,8.9,8.9
540,0,0,0,0,0,0,0,0,0,0,0,9.1,9.1
555,0,0,0,0,0,0,0,0,0,0,0,9.3,9.3
570,0,0,0,0,0,0,0,0,0,0,0,9.5,9.5
585,0,0,0,0,0,0,0,0,0,0,0,9.6,9.6
600,0,0,0,0,0,0,0,0,0,0,0,9.7,9.7
615,0,0,0,0,0,0,0,0,0,0,0,9.8,9.8
630,0,0,0,0,0,0,0,0,0,0,0,9.9,9.9
645,0,0,0,0,0,0,0,0,0,0,0,10,10
660,0,0,0,0,0,0,0,0,0,0,0,10.1,10.1
675,0,0,0,0,0,0,0,0,0,0,0,10.2,10.2
690,0,0,0,0,0,0,0,0,0,0,0,10.3,10.3
705,0,0,0,0,0,0,0,0,0,0,0,10.4,10.4
720,0,0,0,0,0,0,0,0,0,0,0,10.5,10.5
735,0,0,0,0,0,0,0,0,0,0,0,10.6,10.6
750,0,0,0,0,0,0,0,0,0,0,0,10.7,10.7
765,0,0,0,0,0,0,0,0,0,0,0,10.8,10.8
780,0,0,0,0,0,0,0,0,0,0,0,10.9,10.9
795,0,0,0,0,0,0,0,0,0,0,0,11,11
810,0,0,0,0,0,0,0,0,0,0,0,11.1,11.1
825,0,0,0,0,0,0,0,0,0,0,0,11.2,11.2
840,0,0,0,0,0,0,0,0,0,0,0,11.3,11.3
855,0,0,0,0,0,0,0,0,0,0,0,11.4,11.4
870,0,0,0,0,0,0,0,0,0,0,0,11.5,11.5
885,0,0,0,0,0,0,0,0,0,0,0,11.6,11.6
900,0,0,0,0,0,0,0,0,0,0,0,11.7,11.7
915,0,0,0,0,0,0,0,0,0,0,0,11.8,11.8
930,0,0,0,0,0,0,0,0,0,0,0,11.9,11.9
945,0,0,0,0,0,0,0,0,0,0,0,12,12
960,0,0,0,0,0,0,0,0,0,0,0,12.1,12.1
975,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2
990,0,0,0,0,0,0,0,0,0,0,0,12.3,12.3
1005,0,0,0,0,0,0,0,0,0,0,0,12.4,12.4
1020,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5
1035,0,0,0,0,0,0,0,0,0,0,0,12.6,12.6
1050,0,0,0,0,0,0,0,0,0,0,0,12.7,12.7
1065,0,0,0,0,0,0,0,0,0,0,0,12.8,12.8
1080,0,0,0,0,0,0,0,0,0,0,0,12.9,12.9
1095,0,0,0,0,0,0,0,0,0,0,0,13,13
1110,0,0,0,0,0,0,0,0,0,0,0,13.1,13.1
1125,0,0,0,0,0,0,0,0,0,0,0,13.2,13.2
1140,0,0,0,0,0,0,0,0,0,0,0,13.3,13.3
1155,0,0,0,0,0,0,0,0,0,0,0,13.4,13.4
1170,0,0,0,0,0,0,0,0,0,0,0,13.5,13.5
1185,0,0,0,0,0,0,0,0,0,0,0,13.6,13.6
1200,0,0,0,0,0,0,0,0,0,0,0,13.7,13.7
1215,0,0,0,0,0,0,0,0,0,0,0,13.8,13.8
1230,0,0,0,0,0,0,0,0,0,0,0,13.9,13.9
1245,0,0,0,0,0,0,0,0,0,0,0,14,14
1260,0,0,0,0,0,0,0,0,0,0,0,14.1,14.1
1275,0,0,0,0,0,0,0,0,0,0,0,14.2,14.2
1290,0,0,0,0,0,0,0,0,0,0,0,14.3,14.3
1305,0,0,0,0,0,0,0,0,0,0,0,14.4,14.4
1320,0,0,0,0,0,0,0,0,0,0,0,14.5,14.5
1335,0,0,0,0,0,0,0,0,0,0,0,14.6,14.6
1350,0,0,0,0,0,0,0,0,0,0,0,14.7,14.7
1365,0,0,0,0,0,0,0,0,0,0,0,14.8,14.8
1380,0,0,0,0,0,0,0,0,0,0,0,14.9,14.9
1395,0,0,0,0,0,0,0,0,0,0,0,15,15
1410,0,0,0,0,0,0,0,0,0,0,0,15.1,15.1
1425,0,0,0,0,0,0,0,0,0,0,0,15.2,15.2
1440,0,0,0,0,0,0,0,0,0,0,0,15.3,15.3
1455,0,0,0,0,0,0,0,0,0,0,0,15.4,15.4
