Life,Ki,KiRecovery,Weight,Pulse,Ninjutsu,NinjutsuCapacity,Onmyo,OnmyoCapacity,Fire,Water,Lightning,Poison,Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12,2,0,0,0,0,0,0,0
0,0,0,0,0,24,3,0,0,0,0,0,0.5,0.5
0,0,0,0,0,35,4,0,0,0,0,0,1,1
0,0,0,0,0,46,5,0,0,0,0,0,1.5,1.5
0,0,0,0,0,56,7,0,0,0,0,0,2,2
0,0,0,0,0,65,8,0,0,0,0,0,2.4,2.4
0,0,0,0,0,74,9,0,0,0,0,0,2.8,2.8
0,0,0,0,0,83,10,0,0,0,0,0,3.2,3.2
0,0,0,0,0,92,11,0,0,0,0,0,3.6,3.6
0,0,0,0,0,101,12,0,0,0,0,0,4,4
0,0,0,0,0,109,13,0,0,0,0,0,4.3,4.3
0,0,0,0,0,117,14,0,0,0,0,0,4.6,4.6
0,0,0,0,0,125,15,0,0,0,0,0,4.9,4.9
0,0,0,0,0,133,16,0,0,0,0,0,5.2,5.2
0,0,0,0,0,141,17,0,0,0,0,0,5.5,5.5
0,0,0,0,0,149,18,0,0,0,0,0,5.7,5.7
0,0,0,0,0,157,19,0,0,0,0,0,5.9,5.9
0,0,0,0,0,165,20,0,0,0,0,0,6.1,6.1
0,0,0,0,0,173,21,0,0,0,0,0,6.3,6.3
0,0,0,0,0,181,22,0,0,0,0,0,6.5,6.5
0,0,0,0,0,188,23,0,0,0,0,0,6.7,6.7
0,0,0,0,0,195,24,0,0,0,0,0,6.9,6.9
0,0,0,0,0,202,25,0,0,0,0,0,7.1,7.1
0,0,0,0,0,209,26,0,0,0,0,0,7.3,7.3
0,0,0,0,0,216,27,0,0,0,0,0,7.5,7.5
0,0,0,0,0,223,27,0,0,0,0,0,7.7,7.7
0,0,0,0,0,230,27,0,0,0,0,0,7.9,7.9
0,0,0,0,0,237,27,0,0,0,0,0,8.1,8.1
0,0,0,0,0,244,27,0,0,0,0,0,8.3,8.3
0,0,0,0,0,251,27,0,0,0,0,0,8.5,8.5
0,0,0,0,0,257,27,0,0,0,0,0,8.7,8.7
0,0,0,0,0,263,27,0,0,0,0,0,8.9,8.9
0,0,0,0,0,269,27,0,0,0,0,0,9.1,9.1
0,0,0,0,0,275,27,0,0,0,0,0,9.3,9.3
0,0,0,0,0,281,27,0,0,0,0,0,9.5,9.5
0,0,0,0,0,287,27,0,0,0,0,0,9.6,9.6
0,0,0,0,0,293,27,0,0,0,0,0,9.7,9.7
0,0,0,0,0,299,27,0,0,0,0,0,9.8,9.8
0,0,0,0,0,305,27,0,0,0,0,0,9.9,9.9
0,0,0,0,0,311,27,0,0,0,0,0,10,10
0,0,0,0,0,317,27,0,0,0,0,0,10.1,10.1
0,0,0,0,0,323,27,0,0,0,0,0,10.2,10.2
0,0,0,0,0,329,27,0,0,0,0,0,10.3,10.3
0,0,0,0,0,335,27,0,0,0,0,0,10.4,10.4
0,0,0,0,0,341,27,0,0,0,0,0,10.5,10.5
0,0,0,0,0,346,27,0,0,0,0,0,10.6,10.6
0,0,0,0,0,351,27,0,0,0,0,0,10.7,10.7
0,0,0,0,0,356,27,0,0,0,0,0,10.8,10.8
0,0,0,0,0,361,27,0,0,0,0,0,10.9,10.9
0,0,0,0,0,366,27,0,0,0,0,0,11,11
0,0,0,0,0,371,27,0,0,0,0,0,11.1,11.1
0,0,0,0,0,376,27,0,0,0,0,0,11.2,11.2
0,0,0,0,0,381,27,0,0,0,0,0,11.3,11.3
0,0,0,0,0,386,27,0,0,0,0,0,11.4,11.4
0,0,0,0,0,391,27,0,0,0,0,0,11.5,11.5
0,0,0,0,0,395,27,0,0,0,0,0,11.6,11.6
0,0,0,0,0,399,27,0,0,0,0,0,11.7,11.7
0,0,0,0,0,403,27,0,0,0,0,0,11.8,11.8
0,0,0,0,0,407,27,0,0,0,0,0,11.9,11.9
0,0,0,0,0,411,27,0,0,0,0,0,12,12
0,0,0,0,0,415,27,0,0,0,0,0,12.1,12.1
0,0,0,0,0,419,27,0,0,0,0,0,12.2,12.2
0,0,0,0,0,423,27,0,0,0,0,0,12.3,12.3
0,0,0,0,0,427,27,0,0,0,0,0,12.4,12.4
0,0,0,0,0,431,27,0,0,0,0,0,12.5,12.5
0,0,0,0,0,434,27,0,0,0,0,0,12.6,12.6
0,0,0,0,0,437,27,0,0,0,0,0,12.7,12.7
0,0,0,0,0,440,27,0,0,0,0,0,12.8,12.8
0,0,0,0,0,443,27,0,0,0,0,0,12.9,12.9
0,0,0,0,0,446,27,0,0,0,0,0,13,13
0,0,0,0,0,449,27,0,0,0,0,0,13.1,13.1
0,0,0,0,0,452,27,0,0,0,0,0,13.2,13.2
0,0,0,0,0,455,27,0,0,0,0,0,13.3,13.3
0,0,0,0,0,458,27,0,0,0,0,0,13.4,13.4
0,0,0,0,0,461,27,0,0,0,0,0,13.5,13.5
0,0,0,0,0,463,27,0,0,0,0,0,13.6,13.6
0,0,0,0,0,465,27,0,0,0,0,0,13.7,13.7
0,0,0,0,0,467,27,0,0,0,0,0,13.8,13.8
0,0,0,0,0,469,27,0,0,0,0,0,13.9,13.9
0,0,0,0,0,471,27,0,0,0,0,0,14,14
0,0,0,0,0,473,27,0,0,0,0,0,14.1,14.1
0,0,0,0,0,475,27,0,0,0,0,0,14.2,14.2
0,0,0,0,0,477,27,0,0,0,0,0,14.3,14.3
0,0,0,0,0,479,27,0,0,0,0,0,14.4,14.4
0,0,0,0,0,481,27,0,0,0,0,0,14.5,14.5
0,0,0,0,0,482,27,0,0,0,0,0,14.6,14.6
0,0,0,0,0,483,27,0,0,0,0,0,14.7,14.7
0,0,0,0,0,484,27,0,0,0,0,0,14.8,14.8
0,0,0,0,0,485,27,0,0,0,0,0,14.9,14.9
0,0,0,0,0,486,27,0,0,0,0,0,15,15
0,0,0,0,0,487,27,0,0,0,0,0,15.1,15.1
0,0,0,0,0,488,27,0,0,0,0,0,15.2,15.2
0,0,0,0,0,489,27,0,0,0,0,0,15.3,15.3
0,0,0,0,0,490,27,0,0,0,0,0,15.4,15.4
0,0,0,0,0,490,27,0,0,0,0,0,15.4,15.4
