Life,Ki,KiRecovery,Weight,Pulse,Ninjutsu,NinjutsuCapacity,Onmyo,OnmyoCapacity,Fire,Water,Lightning,Poison,Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,3,0,0,0,0,0,0,0,0,0,0,0
0,40,5,0,0,0,0,0,0,0.5,0,0,0,0
0,50,8,0,0,0,0,0,0,1,0,0,0,0
0,60,11,0,0,0,0,0,0,1.5,0,0,0,0
0,80,13,0,0,0,0,0,0,2,0,0,0,0
0,90,15,0,0,0,0,0,0,2.4,0,0,0,0
0,100,17,0,0,0,0,0,0,2.8,0,0,0,0
0,110,19,0,0,0,0,0,0,3.2,0,0,0,0
0,120,20,0,0,0,0,0,0,3.6,0,0,0,0
0,135,22,0,0,0,0,0,0,4,0,0,0,0
0,140,24,0,0,0,0,0,0,4.3,0,0,0,0
0,145,25,0,0,0,0,0,0,4.6,0,0,0,0
0,150,26,0,0,0,0,0,0,4.9,0,0,0,0
0,155,28,0,0,0,0,0,0,5.2,0,0,0,0
0,165,29,0,0,0,0,0,0,5.5,0,0,0,0
0,169,31,0,0,0,0,0,0,5.7,0,0,0,0
0,173,32,0,0,0,0,0,0,5.9,0,0,0,0
0,177,33,0,0,0,0,0,0,6.1,0,0,0,0
0,181,34,0,0,0,0,0,0,6.3,0,0,0,0
0,189,35,0,0,0,0,0,0,6.5,0,0,0,0
0,193,36,0,0,0,0,0,0,6.7,0,0,0,0
0,197,37,0,0,0,0,0,0,6.9,0,0,0,0
0,201,38,0,0,0,0,0,0,7.1,0,0,0,0
0,205,39,0,0,0,0,0,0,7.3,0,0,0,0
0,212,40,0,0,0,0,0,0,7.5,0,0,0,0
0,215,41,0,0,0,0,0,0,7.7,0,0,0,0
0,218,42,0,0,0,0,0,0,7.9,0,0,0,0
0,221,43,0,0,0,0,0,0,8.1,0,0,0,0
0,224,44,0,0,0,0,0,0,8.3,0,0,0,0
0,227,45,0,0,0,0,0,0,8.5,0,0,0,0
0,230,46,0,0,0,0,0,0,8.7,0,0,0,0
0,233,46,0,0,0,0,0,0,8.9,0,0,0,0
0,236,47,0,0,0,0,0,0,9.1,0,0,0,0
0,239,48,0,0,0,0,0,0,9.3,0,0,0,0
0,245,49,0,0,0,0,0,0,9.5,0,0,0,0
0,248,49,0,0,0,0,0,0,9.6,0,0,0,0
0,251,50,0,0,0,0,0,0,9.7,0,0,0,0
0,254,50,0,0,0,0,0,0,9.8,0,0,0,0
0,257,51,0,0,0,0,0,0,9.9,0,0,0,0
0,260,51,0,0,0,0,0,0,10,0,0,0,0
0,263,52,0,0,0,0,0,0,10.1,0,0,0,0
0,266,52,0,0,0,0,0,0,10.2,0,0,0,0
0,269,53,0,0,0,0,0,0,10.3,0,0,0,0
0,272,53,0,0,0,0,0,0,10.4,0,0,0,0
0,277,54,0,0,0,0,0,0,10.5,0,0,0,0
0,279,54,0,0,0,0,0,0,10.6,0,0,0,0
0,281,54,0,0,0,0,0,0,10.7,0,0,0,0
0,283,55,0,0,0,0,0,0,10.8,0,0,0,0
0,285,55,0,0,0,0,0,0,10.9,0,0,0,0
0,287,55,0,0,0,0,0,0,11,0,0,0,0
0,289,55,0,0,0,0,0,0,11.1,0,0,0,0
0,291,56,0,0,0,0,0,0,11.2,0,0,0,0
0,293,56,0,0,0,0,0,0,11.3,0,0,0,0
0,295,56,0,0,0,0,0,0,11.4,0,0,0,0
0,300,57,0,0,0,0,0,0,11.5,0,0,0,0
0,302,57,0,0,0,0,0,0,11.6,0,0,0,0
0,304,57,0,0,0,0,0,0,11.7,0,0,0,0
0,306,57,0,0,0,0,0,0,11.8,0,0,0,0
0,308,58,0,0,0,0,0,0,11.9,0,0,0,0
0,310,58,0,0,0,0,0,0,12,0,0,0,0
0,312,58,0,0,0,0,0,0,12.1,0,0,0,0
0,314,59,0,0,0,0,0,0,12.2,0,0,0,0
0,316,59,0,0,0,0,0,0,12.3,0,0,0,0
0,318,59,0,0,0,0,0,0,12.4,0,0,0,0
0,323,60,0,0,0,0,0,0,12.5,0,0,0,0
0,325,60,0,0,0,0,0,0,12.6,0,0,0,0
0,327,60,0,0,0,0,0,0,12.7,0,0,0,0
0,329,60,0,0,0,0,0,0,12.8,0,0,0,0
0,331,61,0,0,0,0,0,0,12.9,0,0,0,0
0,333,61,0,0,0,0,0,0,13,0,0,0,0
0,335,61,0,0,0,0,0,0,13.1,0,0,0,0
0,337,62,0,0,0,0,0,0,13.2,0,0,0,0
0,339,62,0,0,0,0,0,0,13.3,0,0,0,0
0,341,62,0,0,0,0,0,0,13.4,0,0,0,0
0,346,62,0,0,0,0,0,0,13.5,0,0,0,0
0,348,63,0,0,0,0,0,0,13.6,0,0,0,0
0,350,63,0,0,0,0,0,0,13.7,0,0,0,0
0,352,63,0,0,0,0,0,0,13.8,0,0,0,0
0,354,64,0,0,0,0,0,0,13.9,0,0,0,0
0,355,64,0,0,0,0,0,0,14,0,0,0,0
0,358,64,0,0,0,0,0,0,14.1,0,0,0,0
0,360,65,0,0,0,0,0,0,14.2,0,0,0,0
0,362,65,0,0,0,0,0,0,14.3,0,0,0,0
0,364,65,0,0,0,0,0,0,14.4,0,0,0,0
0,369,65,0,0,0,0,0,0,14.5,0,0,0,0
0,371,66,0,0,0,0,0,0,14.6,0,0,0,0
0,373,66,0,0,0,0,0,0,14.7,0,0,0,0
0,375,66,0,0,0,0,0,0,14.8,0,0,0,0
0,377,66,0,0,0,0,0,0,14.9,0,0,0,0
0,379,66,0,0,0,0,0,0,15,0,0,0,0
0,381,66,0,0,0,0,0,0,15.1,0,0,0,0
0,383,66,0,0,0,0,0,0,15.2,0,0,0,0
0,385,67,0,0,0,0,0,0,15.3,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
0,390,67,0,0,0,0,0,0,15.4,0,0,0,0
