Life,Ki,KiRecovery,Weight,Pulse,Ninjutsu,NinjutsuCapacity,Onmyo,OnmyoCapacity,Fire,Water,Lightning,Poison,Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10,3,0,0,0,0,0,0,0,0
0,0,0,0,20,6,0,0,0,0,0,0,0,0
0,0,0,0,30,8,0,0,0,0,0,0,0,0
0,0,0,0,40,10,0,0,0,0,0,0,0,0
0,0,0,0,50,11,0,0,0,0,0,0,0,0
0,0,0,0,57,12,0,0,0,0,0,0,0,0
0,0,0,0,64,13,0,0,0,0,0,0,0,0
0,0,0,0,71,14,0,0,0,0,0,0,0,0
0,0,0,0,78,15,0,0,0,0,0,0,0,0
0,0,0,0,85,16,0,0,0,0,0,0,0,0
0,0,0,0,91,17,0,0,0,0,0,0,0,0
0,0,0,0,97,18,0,0,0,0,0,0,0,0
0,0,0,0,103,19,0,0,0,0,0,0,0,0
0,0,0,0,109,20,0,0,0,0,0,0,0,0
0,0,0,0,115,21,0,0,0,0,0,0,0,0
0,0,0,0,120,22,0,0,0,0,0,0,0,0
0,0,0,0,125,23,0,0,0,0,0,0,0,0
0,0,0,0,130,24,0,0,0,0,0,0,0,0
0,0,0,0,135,25,0,0,0,0,0,0,0,0
0,0,0,0,140,26,0,0,0,0,0,0,0,0
0,0,0,0,144,27,0,0,0,0,0,0,0,0
0,0,0,0,148,28,0,0,0,0,0,0,0,0
0,0,0,0,152,29,0,0,0,0,0,0,0,0
0,0,0,0,156,30,0,0,0,0,0,0,0,0
0,0,0,0,160,31,0,0,0,0,0,0,0,0
0,0,0,0,163,32,0,0,0,0,0,0,0,0
0,0,0,0,166,33,0,0,0,0,0,0,0,0
0,0,0,0,169,34,0,0,0,0,0,0,0,0
0,0,0,0,172,35,0,0,0,0,0,0,0,0
0,0,0,0,175,36,0,0,0,0,0,0,0,0
0,0,0,0,178,37,0,0,0,0,0,0,0,0
0,0,0,0,181,38,0,0,0,0,0,0,0,0
0,0,0,0,184,39,0,0,0,0,0,0,0,0
0,0,0,0,187,40,0,0,0,0,0,0,0,0
0,0,0,0,190,41,0,0,0,0,0,0,0,0
0,0,0,0,192,42,0,0,0,0,0,0,0,0
0,0,0,0,194,43,0,0,0,0,0,0,0,0
0,0,0,0,196,44,0,0,0,0,0,0,0,0
0,0,0,0,198,45,0,0,0,0,0,0,0,0
0,0,0,0,200,46,0,0,0,0,0,0,0,0
0,0,0,0,202,47,0,0,0,0,0,0,0,0
0,0,0,0,204,48,0,0,0,0,0,0,0,0
0,0,0,0,206,49,0,0,0,0,0,0,0,0
0,0,0,0,208,50,0,0,0,0,0,0,0,0
0,0,0,0,210,51,0,0,0,0,0,0,0,0
0,0,0,0,211,52,0,0,0,0,0,0,0,0
0,0,0,0,212,53,0,0,0,0,0,0,0,0
0,0,0,0,213,54,0,0,0,0,0,0,0,0
0,0,0,0,214,55,0,0,0,0,0,0,0,0
0,0,0,0,215,56,0,0,0,0,0,0,0,0
0,0,0,0,216,57,0,0,0,0,0,0,0,0
0,0,0,0,217,58,0,0,0,0,0,0,0,0
0,0,0,0,218,59,0,0,0,0,0,0,0,0
0,0,0,0,219,60,0,0,0,0,0,0,0,0
0,0,0,0,220,61,0,0,0,0,0,0,0,0
0,0,0,0,221,62,0,0,0,0,0,0,0,0
0,0,0,0,222,63,0,0,0,0,0,0,0,0
0,0,0,0,223,64,0,0,0,0,0,0,0,0
0,0,0,0,224,65,0,0,0,0,0,0,0,0
0,0,0,0,225,66,0,0,0,0,0,0,0,0
0,0,0,0,226,67,0,0,0,0,0,0,0,0
0,0,0,0,227,68,0,0,0,0,0,0,0,0
0,0,0,0,228,69,0,0,0,0,0,0,0,0
0,0,0,0,229,70,0,0,0,0,0,0,0,0
0,0,0,0,230,71,0,0,0,0,0,0,0,0
0,0,0,0,231,72,0,0,0,0,0,0,0,0
0,0,0,0,232,73,0,0,0,0,0,0,0,0
0,0,0,0,233,74,0,0,0,0,0,0,0,0
0,0,0,0,234,75,0,0,0,0,0,0,0,0
0,0,0,0,235,76,0,0,0,0,0,0,0,0
0,0,0,0,236,77,0,0,0,0,0,0,0,0
0,0,0,0,237,78,0,0,0,0,0,0,0,0
0,0,0,0,238,79,0,0,0,0,0,0,0,0
0,0,0,0,239,80,0,0,0,0,0,0,0,0
0,0,0,0,240,81,0,0,0,0,0,0,0,0
0,0,0,0,241,82,0,0,0,0,0,0,0,0
0,0,0,0,242,83,0,0,0,0,0,0,0,0
0,0,0,0,243,84,0,0,0,0,0,0,0,0
0,0,0,0,244,85,0,0,0,0,0,0,0,0
0,0,0,0,245,86,0,0,0,0,0,0,0,0
0,0,0,0,246,87,0,0,0,0,0,0,0,0
0,0,0,0,247,88,0,0,0,0,0,0,0,0
0,0,0,0,248,89,0,0,0,0,0,0,0,0
0,0,0,0,249,90,0,0,0,0,0,0,0,0
0,0,0,0,250,91,0,0,0,0,0,0,0,0
0,0,0,0,251,92,0,0,0,0,0,0,0,0
0,0,0,0,252,93,0,0,0,0,0,0,0,0
0,0,0,0,253,94,0,0,0,0,0,0,0,0
0,0,0,0,254,95,0,0,0,0,0,0,0,0
0,0,0,0,255,96,0,0,0,0,0,0,0,0
0,0,0,0,256,97,0,0,0,0,0,0,0,0
0,0,0,0,257,98,0,0,0,0,0,0,0,0
0,0,0,0,258,99,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
0,0,0,0,259,100,0,0,0,0,0,0,0,0
