Life,Ki,KiRecovery,Weight,Pulse,Ninjutsu,NinjutsuCapacity,Onmyo,OnmyoCapacity,Fire,Water,Lightning,Poison,Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,0,0,0,0,0,0,0
30,0,0,1.9,0,0,0,0,0,0,0,0,0,0
40,0,0,2.8,0,0,0,0,0,0,0,0,0,0
55,0,0,3.6,0,0,0,0,0,0,0,0,0,0
65,0,0,4.4,0,0,0,0,0,0,0,0,0,0
70,0,0,5.1,0,0,0,0,0,0,0,0,0,0
75,0,0,5.8,0,0,0,0,0,0,0,0,0,0
80,0,0,6.4,0,0,0,0,0,0,0,0,0,0
85,0,0,7,0,0,0,0,0,0,0,0,0,0
90,0,0,7.5,0,0,0,0,0,0,0,0,0,0
95,0,0,8.1,0,0,0,0,0,0,0,0,0,0
100,0,0,8.6,0,0,0,0,0,0,0,0,0,0
105,0,0,9.1,0,0,0,0,0,0,0,0,0,0
110,0,0,9.7,0,0,0,0,0,0,0,0,0,0
115,0,0,10.2,0,0,0,0,0,0,0,0,0,0
120,0,0,10.7,0,0,0,0,0,0,0,0,0,0
125,0,0,11.2,0,0,0,0,0,0,0,0,0,0
130,0,0,11.6,0,0,0,0,0,0,0,0,0,0
135,0,0,12.1,0,0,0,0,0,0,0,0,0,0
140,0,0,12.5,0,0,0,0,0,0,0,0,0,0
145,0,0,12.9,0,0,0,0,0,0,0,0,0,0
150,0,0,13.4,0,0,0,0,0,0,0,0,0,0
155,0,0,13.8,0,0,0,0,0,0,0,0,0,0
160,0,0,14.2,0,0,0,0,0,0,0,0,0,0
165,0,0,14.6,0,0,0,0,0,0,0,0,0,0
170,0,0,14.9,0,0,0,0,0,0,0,0,0,0
175,0,0,15.3,0,0,0,0,0,0,0,0,0,0
180,0,0,15.6,0,0,0,0,0,0,0,0,0,0
185,0,0,15.9,0,0,0,0,0,0,0,0,0,0
190,0,0,16.3,0,0,0,0,0,0,0,0,0,0
195,0,0,16.6,0,0,0,0,0,0,0,0,0,0
200,0,0,16.9,0,0,0,0,0,0,0,0,0,0
205,0,0,17.2,0,0,0,0,0,0,0,0,0,0
210,0,0,17.4,0,0,0,0,0,0,0,0,0,0
215,0,0,17.7,0,0,0,0,0,0,0,0,0,0
220,0,0,17.9,0,0,0,0,0,0,0,0,0,0
225,0,0,18.1,0,0,0,0,0,0,0,0,0,0
230,0,0,18.4,0,0,0,0,0,0,0,0,0,0
235,0,0,18.6,0,0,0,0,0,0,0,0,0,0
240,0,0,18.8,0,0,0,0,0,0,0,0,0,0
245,0,0,19,0,0,0,0,0,0,0,0,0,0
250,0,0,19.1,0,0,0,0,0,0,0,0,0,0
255,0,0,19.3,0,0,0,0,0,0,0,0,0,0
260,0,0,19.4,0,0,0,0,0,0,0,0,0,0
265,0,0,19.5,0,0,0,0,0,0,0,0,0,0
270,0,0,19.7,0,0,0,0,0,0,0,0,0,0
275,0,0,19.8,0,0,0,0,0,0,0,0,0,0
280,0,0,19.9,0,0,0,0,0,0,0,0,0,0
285,0,0,20,0,0,0,0,0,0,0,0,0,0
290,0,0,20.1,0,0,0,0,0,0,0,0,0,0
295,0,0,20.2,0,0,0,0,0,0,0,0,0,0
300,0,0,20.3,0,0,0,0,0,0,0,0,0,0
305,0,0,20.4,0,0,0,0,0,0,0,0,0,0
310,0,0,20.5,0,0,0,0,0,0,0,0,0,0
315,0,0,20.6,0,0,0,0,0,0,0,0,0,0
320,0,0,20.7,0,0,0,0,0,0,0,0,0,0
325,0,0,20.8,0,0,0,0,0,0,0,0,0,0
330,0,0,20.9,0,0,0,0,0,0,0,0,0,0
335,0,0,21,0,0,0,0,0,0,0,0,0,0
340,0,0,21.1,0,0,0,0,0,0,0,0,0,0
345,0,0,21.2,0,0,0,0,0,0,0,0,0,0
350,0,0,21.3,0,0,0,0,0,0,0,0,0,0
355,0,0,21.4,0,0,0,0,0,0,0,0,0,0
360,0,0,21.5,0,0,0,0,0,0,0,0,0,0
365,0,0,21.6,0,0,0,0,0,0,0,0,0,0
370,0,0,21.7,0,0,0,0,0,0,0,0,0,0
375,0,0,21.8,0,0,0,0,0,0,0,0,0,0
380,0,0,21.9,0,0,0,0,0,0,0,0,0,0
385,0,0,22,0,0,0,0,0,0,0,0,0,0
390,0,0,22.1,0,0,0,0,0,0,0,0,0,0
395,0,0,22.2,0,0,0,0,0,0,0,0,0,0
400,0,0,22.3,0,0,0,0,0,0,0,0,0,0
405,0,0,22.4,0,0,0,0,0,0,0,0,0,0
410,0,0,22.5,0,0,0,0,0,0,0,0,0,0
415,0,0,22.6,0,0,0,0,0,0,0,0,0,0
420,0,0,22.7,0,0,0,0,0,0,0,0,0,0
425,0,0,22.8,0,0,0,0,0,0,0,0,0,0
430,0,0,22.9,0,0,0,0,0,0,0,0,0,0
435,0,0,23,0,0,0,0,0,0,0,0,0,0
440,0,0,23.1,0,0,0,0,0,0,0,0,0,0
445,0,0,23.2,0,0,0,0,0,0,0,0,0,0
450,0,0,23.3,0,0,0,0,0,0,0,0,0,0
455,0,0,23.4,0,0,0,0,0,0,0,0,0,0
460,0,0,23.5,0,0,0,0,0,0,0,0,0,0
465,0,0,23.6,0,0,0,0,0,0,0,0,0,0
470,0,0,23.7,0,0,0,0,0,0,0,0,0,0
475,0,0,23.8,0,0,0,0,0,0,0,0,0,0
480,0,0,23.9,0,0,0,0,0,0,0,0,0,0
485,0,0,24,0,0,0,0,0,0,0,0,0,0
490,0,0,24.1,0,0,0,0,0,0,0,0,0,0
495,0,0,24.2,0,0,0,0,0,0,0,0,0,0
500,0,0,24.3,0,0,0,0,0,0,0,0,0,0
505,0,0,24.4,0,0,0,0,0,0,0,0,0,0
510,0,0,24.5,0,0,0,0,0,0,0,0,0,0
510,0,0,24.5,0,0,0,0,0,0,0,0,0,0
512,0,0,24.5,0,0,0,0,0,0,0,0,0,0
514,0,0,24.5,0,0,0,0,0,0,0,0,0,0
516,0,0,24.5,0,0,0,0,0,0,0,0,0,0
518,0,0,24.5,0,0,0,0,0,0,0,0,0,0
520,0,0,24.5,0,0,0,0,0,0,0,0,0,0
