Life,Ki,KiRecovery,Weight,Pulse,Ninjutsu,NinjutsuCapacity,Onmyo,OnmyoCapacity,Fire,Water,Lightning,Poison,Paralysis
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.1,5,0,0,0,0,0,0,0,0,0
0,0,0,0.1,10,0,0,0,0,0,0.5,0,0,0
0,0,0,0.2,15,0,0,0,0,0,1,0,0,0
0,0,0,0.3,20,0,0,0,0,0,1.5,0,0,0
0,0,0,0.4,25,0,0,0,0,0,2,0,0,0
0,0,0,0.4,29,0,0,0,0,0,2.4,0,0,0
0,0,0,0.5,32,0,0,0,0,0,2.8,0,0,0
0,0,0,0.6,36,0,0,0,0,0,3.2,0,0,0
0,0,0,0.6,39,0,0,0,0,0,3.6,0,0,0
0,0,0,0.7,43,0,0,0,0,0,4,0,0,0
0,0,0,0.7,46,0,0,0,0,0,4.3,0,0,0
0,0,0,0.7,49,0,0,0,0,0,4.6,0,0,0
0,0,0,0.8,52,0,0,0,0,0,4.9,0,0,0
0,0,0,0.8,55,0,0,0,0,0,5.2,0,0,0
0,0,0,0.8,58,0,0,0,0,0,5.5,0,0,0
0,0,0,0.8,60,0,0,0,0,0,5.7,0,0,0
0,0,0,0.9,63,0,0,0,0,0,5.9,0,0,0
0,0,0,0.9,65,0,0,0,0,0,6.1,0,0,0
0,0,0,0.9,68,0,0,0,0,0,6.3,0,0,0
0,0,0,0.9,70,0,0,0,0,0,6.5,0,0,0
0,0,0,0.9,72,0,0,0,0,0,6.7,0,0,0
0,0,0,1,74,0,0,0,0,0,6.9,0,0,0
0,0,0,1,76,0,0,0,0,0,7.1,0,0,0
0,0,0,1,78,0,0,0,0,0,7.3,0,0,0
0,0,0,1,80,0,0,0,0,0,7.5,0,0,0
0,0,0,1,81,0,0,0,0,0,7.7,0,0,0
0,0,0,1,83,0,0,0,0,0,7.9,0,0,0
0,0,0,1.1,84,0,0,0,0,0,8.1,0,0,0
0,0,0,1.1,86,0,0,0,0,0,8.3,0,0,0
0,0,0,1.1,87,0,0,0,0,0,8.5,0,0,0
0,0,0,1.1,89,0,0,0,0,0,8.7,0,0,0
0,0,0,1.1,90,0,0,0,0,0,8.9,0,0,0
0,0,0,1.1,92,0,0,0,0,0,9.1,0,0,0
0,0,0,1.1,93,0,0,0,0,0,9.3,0,0,0
0,0,0,1.2,95,0,0,0,0,0,9.5,0,0,0
0,0,0,1.2,96,0,0,0,0,0,9.6,0,0,0
0,0,0,1.2,97,0,0,0,0,0,9.7,0,0,0
0,0,0,1.2,98,0,0,0,0,0,9.8,0,0,0
0,0,0,1.2,99,0,0,0,0,0,9.9,0,0,0
0,0,0,1.2,100,0,0,0,0,0,10,0,0,0
0,0,0,1.2,101,0,0,0,0,0,10.1,0,0,0
0,0,0,1.2,102,0,0,0,0,0,10.2,0,0,0
0,0,0,1.3,103,0,0,0,0,0,10.3,0,0,0
0,0,0,1.3,104,0,0,0,0,0,10.4,0,0,0
0,0,0,1.3,105,0,0,0,0,0,10.5,0,0,0
0,0,0,1.3,105,0,0,0,0,0,10.6,0,0,0
0,0,0,1.3,106,0,0,0,0,0,10.7,0,0,0
0,0,0,1.3,106,0,0,0,0,0,10.8,0,0,0
0,0,0,1.3,107,0,0,0,0,0,10.9,0,0,0
0,0,0,1.3,107,0,0,0,0,0,11,0,0,0
0,0,0,1.3,108,0,0,0,0,0,11.1,0,0,0
0,0,0,1.4,108,0,0,0,0,0,11.2,0,0,0
0,0,0,1.4,109,0,0,0,0,0,11.3,0,0,0
0,0,0,1.4,109,0,0,0,0,0,11.4,0,0,0
0,0,0,1.4,110,0,0,0,0,0,11.5,0,0,0
0,0,0,1.4,110,0,0,0,0,0,11.6,0,0,0
0,0,0,1.4,111,0,0,0,0,0,11.7,0,0,0
0,0,0,1.4,111,0,0,0,0,0,11.8,0,0,0
0,0,0,1.4,112,0,0,0,0,0,11.9,0,0,0
0,0,0,1.4,112,0,0,0,0,0,12,0,0,0
0,0,0,1.4,113,0,0,0,0,0,12.1,0,0,0
0,0,0,1.5,113,0,0,0,0,0,12.2,0,0,0
0,0,0,1.5,114,0,0,0,0,0,12.3,0,0,0
0,0,0,1.5,114,0,0,0,0,0,12.4,0,0,0
0,0,0,1.5,115,0,0,0,0,0,12.5,0,0,0
0,0,0,1.5,115,0,0,0,0,0,12.6,0,0,0
0,0,0,1.5,116,0,0,0,0,0,12.7,0,0,0
0,0,0,1.5,116,0,0,0,0,0,12.8,0,0,0
0,0,0,1.5,117,0,0,0,0,0,12.9,0,0,0
0,0,0,1.5,117,0,0,0,0,0,13,0,0,0
0,0,0,1.5,118,0,0,0,0,0,13.1,0,0,0
0,0,0,1.5,118,0,0,0,0,0,13.2,0,0,0
0,0,0,1.6,119,0,0,0,0,0,13.3,0,0,0
0,0,0,1.6,119,0,0,0,0,0,13.4,0,0,0
0,0,0,1.6,120,0,0,0,0,0,13.5,0,0,0
0,0,0,1.6,120,0,0,0,0,0,13.6,0,0,0
0,0,0,1.6,121,0,0,0,0,0,13.7,0,0,0
0,0,0,1.6,121,0,0,0,0,0,13.8,0,0,0
0,0,0,1.6,122,0,0,0,0,0,13.9,0,0,0
0,0,0,1.6,122,0,0,0,0,0,14,0,0,0
0,0,0,1.6,123,0,0,0,0,0,14.1,0,0,0
0,0,0,1.6,123,0,0,0,0,0,14.2,0,0,0
0,0,0,1.6,124,0,0,0,0,0,14.3,0,0,0
0,0,0,1.6,124,0,0,0,0,0,14.4,0,0,0
0,0,0,1.7,125,0,0,0,0,0,14.5,0,0,0
0,0,0,1.7,125,0,0,0,0,0,14.6,0,0,0
0,0,0,1.7,126,0,0,0,0,0,14.7,0,0,0
0,0,0,1.7,126,0,0,0,0,0,14.8,0,0,0
0,0,0,1.7,127,0,0,0,0,0,14.9,0,0,0
0,0,0,1.7,127,0,0,0,0,0,15,0,0,0
0,0,0,1.7,128,0,0,0,0,0,15.1,0,0,0
0,0,0,1.7,128,0,0,0,0,0,15.2,0,0,0
0,0,0,1.7,129,0,0,0,0,0,15.3,0,0,0
0,0,0,1.8,130,0,0,0,0,0,15.4,0,0,0
0,0,0,1.8,130,0,0,0,0,0,15.4,0,0,0
